<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
HUFUSD,D,20220825,000000,0.0024150,0.0024380,0.0023990,0.0024030,288
HUFUSD,D,20220826,000000,0.0024060,0.0024260,0.0023930,0.0024030,271
HUFUSD,D,20220828,000000,0.0024010,0.0024020,0.0024010,0.0024010,41
HUFUSD,D,20220829,000000,0.0023970,0.0024360,0.0023850,0.0024360,288
HUFUSD,D,20220830,000000,0.0024340,0.0024730,0.0024230,0.0024720,288
HUFUSD,D,20220831,000000,0.0024710,0.0024930,0.0024410,0.0024850,288
HUFUSD,D,20220901,000000,0.0024870,0.0024950,0.0024520,0.0024560,288
HUFUSD,D,20220902,000000,0.0024560,0.0024970,0.0024520,0.0024570,259
HUFUSD,D,20220904,000000,0.0024570,0.0024600,0.0024490,0.0024490,62
HUFUSD,D,20220905,000000,0.0024530,0.0024530,0.0024300,0.0024430,288
HUFUSD,D,20220906,000000,0.0024400,0.0024610,0.0024280,0.0024320,288
HUFUSD,D,20220907,000000,0.0024310,0.0025120,0.0024230,0.0025040,288
HUFUSD,D,20220908,000000,0.0025060,0.0025200,0.0024800,0.0025000,288
HUFUSD,D,20220909,000000,0.0025010,0.0025410,0.0025010,0.0025120,262
HUFUSD,D,20220911,000000,0.0025110,0.0025330,0.0025110,0.0025190,69
HUFUSD,D,20220912,000000,0.0025190,0.0025640,0.0025180,0.0025270,288
HUFUSD,D,20220913,000000,0.0025270,0.0025470,0.0024730,0.0024800,288
HUFUSD,D,20220914,000000,0.0024770,0.0024850,0.0024360,0.0024410,288
HUFUSD,D,20220915,000000,0.0024420,0.0024450,0.0024200,0.0024200,288
HUFUSD,D,20220916,000000,0.0024210,0.0024620,0.0024190,0.0024550,269
HUFUSD,D,20220918,000000,0.0024540,0.0024600,0.0024470,0.0024520,59
HUFUSD,D,20220919,000000,0.0024580,0.0024970,0.0024420,0.0024960,288
HUFUSD,D,20220920,000000,0.0024980,0.0025020,0.0024600,0.0024640,288
HUFUSD,D,20220921,000000,0.0024630,0.0024700,0.0023940,0.0023940,288
HUFUSD,D,20220922,000000,0.0023970,0.0024230,0.0023860,0.0024070,288
HUFUSD,D,20220923,000000,0.0024080,0.0024100,0.0023600,0.0023670,259
HUFUSD,D,20220925,000000,0.0023670,0.0023730,0.0023640,0.0023660,52
HUFUSD,D,20220926,000000,0.0023660,0.0023680,0.0023280,0.0023360,287
HUFUSD,D,20220927,000000,0.0023380,0.0023630,0.0023280,0.0023350,288
HUFUSD,D,20220928,000000,0.0023360,0.0023440,0.0022940,0.0023310,287
HUFUSD,D,20220929,000000,0.0023280,0.0023280,0.0022670,0.0023140,288
HUFUSD,D,20220930,000000,0.0023120,0.0023270,0.0022870,0.0022970,258
HUFUSD,D,20221002,000000,0.0022970,0.0023030,0.0022970,0.0023020,54
HUFUSD,D,20221003,000000,0.0022990,0.0023310,0.0022730,0.0023290,288
HUFUSD,D,20221004,000000,0.0023300,0.0023660,0.0023230,0.0023610,286
HUFUSD,D,20221005,000000,0.0023600,0.0023630,0.0023070,0.0023300,288
HUFUSD,D,20221006,000000,0.0023300,0.0023370,0.0022880,0.0022910,288
HUFUSD,D,20221007,000000,0.0022920,0.0022970,0.0022710,0.0022760,272
HUFUSD,D,20221009,000000,0.0022740,0.0022820,0.0022730,0.0022740,49
HUFUSD,D,20221010,000000,0.0022760,0.0022770,0.0022440,0.0022570,288
HUFUSD,D,20221011,000000,0.0022570,0.0022620,0.0022370,0.0022390,288
HUFUSD,D,20221012,000000,0.0022380,0.0022460,0.0022190,0.0022260,213
HUFUSD,D,20221013,000000,0.0022260,0.0022640,0.0022040,0.0022600,286
HUFUSD,D,20221014,000000,0.0022580,0.0023350,0.0022570,0.0023090,262
HUFUSD,D,20221016,000000,0.0023070,0.0023160,0.0023070,0.0023160,34
HUFUSD,D,20221017,000000,0.0023150,0.0023730,0.0023020,0.0023690,288
HUFUSD,D,20221018,000000,0.0023710,0.0023810,0.0023540,0.0023650,288
HUFUSD,D,20221019,000000,0.0023660,0.0023730,0.0023340,0.0023400,288
HUFUSD,D,20221020,000000,0.0023420,0.0023960,0.0023370,0.0023710,286
HUFUSD,D,20221021,000000,0.0023720,0.0023990,0.0023200,0.0023950,260
HUFUSD,D,20221023,000000,0.0023950,0.0024040,0.0023940,0.0023950,16
HUFUSD,D,20221024,000000,0.0023850,0.0023880,0.0023490,0.0023660,280
HUFUSD,D,20221025,000000,0.0023640,0.0024000,0.0023570,0.0023850,287
HUFUSD,D,20221026,000000,0.0023850,0.0024490,0.0023810,0.0024460,287
HUFUSD,D,20221027,000000,0.0024470,0.0024510,0.0024090,0.0024150,288
HUFUSD,D,20221028,000000,0.0024140,0.0024270,0.0023880,0.0024000,265
HUFUSD,D,20221030,000000,0.0023970,0.0024010,0.0023970,0.0023980,41
HUFUSD,D,20221031,000000,0.0023970,0.0024030,0.0023880,0.0023950,288
HUFUSD,D,20221101,000000,0.0023950,0.0024250,0.0023950,0.0024090,286
HUFUSD,D,20221102,000000,0.0024100,0.0024290,0.0023860,0.0023880,285
HUFUSD,D,20221103,000000,0.0023880,0.0023970,0.0023560,0.0023820,288
HUFUSD,D,20221104,000000,0.0023820,0.0024570,0.0023810,0.0024550,261
HUFUSD,D,20221106,000000,0.0024550,0.0024550,0.0024370,0.0024450,69
HUFUSD,D,20221107,000000,0.0024460,0.0024900,0.0024400,0.0024810,288
HUFUSD,D,20221108,000000,0.0024800,0.0024910,0.0024610,0.0024860,288
HUFUSD,D,20221109,000000,0.0024850,0.0024880,0.0024570,0.0024700,287
HUFUSD,D,20221110,000000,0.0024680,0.0025280,0.0024510,0.0025190,287
HUFUSD,D,20221111,000000,0.0025170,0.0025490,0.0025080,0.0025360,272
HUFUSD,D,20221113,000000,0.0025360,0.0025370,0.0025340,0.0025340,84
HUFUSD,D,20221114,000000,0.0025340,0.0025360,0.0024940,0.0024990,288
HUFUSD,D,20221115,000000,0.0025010,0.0025570,0.0024730,0.0024940,288
HUFUSD,D,20221116,000000,0.0024940,0.0025440,0.0024870,0.0025210,288
HUFUSD,D,20221117,000000,0.0025210,0.0025260,0.0024630,0.0025000,283
HUFUSD,D,20221118,000000,0.0025010,0.0025380,0.0024910,0.0025200,270
HUFUSD,D,20221120,000000,0.0025200,0.0025210,0.0025140,0.0025170,76
HUFUSD,D,20221121,000000,0.0025180,0.0025180,0.0024710,0.0024860,286
HUFUSD,D,20221122,000000,0.0024850,0.0025200,0.0024850,0.0025180,288
HUFUSD,D,20221123,000000,0.0025210,0.0025330,0.0024950,0.0025170,287
HUFUSD,D,20221124,000000,0.0025180,0.0025290,0.0024830,0.0024990,288
HUFUSD,D,20221125,000000,0.0025010,0.0025290,0.0024910,0.0025260,275
HUFUSD,D,20221127,000000,0.0025260,0.0025260,0.0025050,0.0025140,58
HUFUSD,D,20221128,000000,0.0025130,0.0025520,0.0025060,0.0025230,261
HUFUSD,D,20221129,000000,0.0025230,0.0025400,0.0025050,0.0025220,288
HUFUSD,D,20221130,000000,0.0025230,0.0025330,0.0024940,0.0025270,288
HUFUSD,D,20221201,000000,0.0025290,0.0025380,0.0025050,0.0025340,287
HUFUSD,D,20221202,000000,0.0025350,0.0025610,0.0025140,0.0025520,273
HUFUSD,D,20221204,000000,0.0025510,0.0025560,0.0025500,0.0025560,78
HUFUSD,D,20221205,000000,0.0025560,0.0025670,0.0025150,0.0025220,288
HUFUSD,D,20221206,000000,0.0025220,0.0025330,0.0025060,0.0025250,288
HUFUSD,D,20221207,000000,0.0025230,0.0025500,0.0025130,0.0025390,287
HUFUSD,D,20221208,000000,0.0025390,0.0025390,0.0024870,0.0025030,287
HUFUSD,D,20221209,000000,0.0025040,0.0025230,0.0024930,0.0024960,271
HUFUSD,D,20221211,000000,0.0024960,0.0025010,0.0024910,0.0024910,74
HUFUSD,D,20221212,000000,0.0024920,0.0025230,0.0024850,0.0025220,288
HUFUSD,D,20221213,000000,0.0025240,0.0025920,0.0025210,0.0025690,288
HUFUSD,D,20221214,000000,0.0025700,0.0026210,0.0025650,0.0026150,286
HUFUSD,D,20221215,000000,0.0026120,0.0026250,0.0025810,0.0025960,288
HUFUSD,D,20221216,000000,0.0025980,0.0026090,0.0025870,0.0025900,271
HUFUSD,D,20221218,000000,0.0025900,0.0025930,0.0025860,0.0025860,75
HUFUSD,D,20221219,000000,0.0025870,0.0026200,0.0025870,0.0026110,288
HUFUSD,D,20221220,000000,0.0026090,0.0026260,0.0025970,0.0026200,288
HUFUSD,D,20221221,000000,0.0026230,0.0026290,0.0026120,0.0026170,288
HUFUSD,D,20221222,000000,0.0026200,0.0026300,0.0026130,0.0026260,288
HUFUSD,D,20221223,000000,0.0026250,0.0026380,0.0026220,0.0026350,278
HUFUSD,D,20221225,000000,0.0026310,0.0026370,0.0026310,0.0026320,16
